Date,Name,Year,Letterboxd URI
2024-04-26,Parasite,2019,https://boxd.it/hTha
2024-04-26,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2024-04-26,Pulp Fiction,1994,https://boxd.it/29Pq
2024-04-26,Black Panther,2018,https://boxd.it/8MHs
2024-04-26,Spree,2020,https://boxd.it/oiiO
2024-04-26,Pride & Prejudice,2005,https://boxd.it/24u8
2024-04-26,Midnight,2021,https://boxd.it/nhSO
2024-04-26,The Door into Summer,2021,https://boxd.it/r5wY
2024-04-26,Miss & Mrs. Cops,2019,https://boxd.it/kYFC
2024-04-26,20th Century Girl,2022,https://boxd.it/w9ea
2024-04-26,Man in Love,2021,https://boxd.it/u1t8
2024-04-26,Howl's Moving Castle,2004,https://boxd.it/23De
2024-04-26,They Cloned Tyrone,2023,https://boxd.it/rE7a
2024-04-26,A Killer Paradox,2024,https://boxd.it/Lq5Y
2024-04-26,Kill Boksoon,2023,https://boxd.it/w53W
2024-04-26,D.P.,2021,https://boxd.it/wK9m
2024-04-26,Unlocked,2023,https://boxd.it/rNgA
2024-04-26,Your Name.,2016,https://boxd.it/cUqs
2024-04-26,Somebody,2022,https://boxd.it/DXzc
2024-04-26,Heathers,1989,https://boxd.it/26x4
2024-04-29,Black Knight,2023,https://boxd.it/GAKM
2024-04-29,The Glory,2022,https://boxd.it/FwZw
2024-04-29,Sweet Home,2020,https://boxd.it/uQkm
2024-04-29,Flower of Evil,2020,https://boxd.it/ui5W
2024-04-29,Little Women,2022,https://boxd.it/D6Fm
2024-04-29,W: Two Worlds Apart,2016,https://boxd.it/uSxW
2024-04-29,Crash Course in Romance,2023,https://boxd.it/Fsow
2024-04-29,Celebrity,2023,https://boxd.it/Hlzc
2024-06-13,Eric,2024,https://boxd.it/NsHE
2024-08-13,Chicago,2002,https://boxd.it/28zm
2024-08-16,Our Times,2015,https://boxd.it/bVeq
2024-09-20,Hamilton,2020,https://boxd.it/kmvE
2024-10-22,Entergalactic,2022,https://boxd.it/CPN4
2024-10-29,The Breakfast Club,1985,https://boxd.it/27q4
2024-12-26,Mamma Mia!,2008,https://boxd.it/1Tnq
2024-12-27,Squid Game,2021,https://boxd.it/x1OG
2025-01-02,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2025-01-02,Bridget Jones's Diary,2001,https://boxd.it/29WQ
2025-01-15,Beetlejuice,1988,https://boxd.it/24QI
2025-01-21,"I, Tonya",2017,https://boxd.it/dzR0
2025-01-25,Edward Scissorhands,1990,https://boxd.it/2aZc
2025-01-25,Wicked,2024,https://boxd.it/e8ME
2025-01-31,Watching the Detectives,2007,https://boxd.it/1B3i
2025-02-01,Whiplash,2014,https://boxd.it/7bQA
2025-02-01,The Social Network,2010,https://boxd.it/17ue
2025-02-23,Brick,2005,https://boxd.it/1Z6A
2025-03-01,American Psycho,2000,https://boxd.it/28Vs
2025-03-02,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2025-03-08,My Neighbor Totoro,1988,https://boxd.it/20eA
2025-03-08,Blue Velvet,1986,https://boxd.it/29BI
2025-03-09,Spirited Away,2001,https://boxd.it/2b4m
2025-03-10,Chastity High,2024,https://boxd.it/PMiy
2025-03-16,Burn the House Down,2023,https://boxd.it/HypY
2025-04-01,Weak Hero,2022,https://boxd.it/DLVq
2025-04-07,Get Out,2017,https://boxd.it/eOCm
2025-04-09,Don't Worry Darling,2022,https://boxd.it/mViu
